id,date,cases,cases_cumulative,deaths,deaths_cumulative,recoveries,recoveries_cumulative,active_cases,hospitalized,on_quarantine,on_supervision,used_beds,respirators
1,2020-03-04,1,1,0,0,0,0,0,0,0,0,0,0
2,2020-03-05,0,1,0,0,0,0,0,0,0,0,0,0
3,2020-03-06,4,5,0,0,0,0,0,0,0,0,0,0
4,2020-03-07,1,6,0,0,0,0,0,0,0,0,0,0
5,2020-03-08,5,11,0,0,0,0,0,0,0,0,0,0
6,2020-03-09,6,17,0,0,0,0,0,0,0,0,0,0
7,2020-03-10,5,22,0,0,0,0,0,0,0,0,0,0
8,2020-03-11,9,31,0,0,0,0,0,0,0,0,0,0
9,2020-03-12,20,51,0,0,0,0,0,0,0,0,0,0
10,2020-03-13,17,68,1,0,0,0,0,0,0,0,0,0
11,2020-03-14,36,104,1,0,0,0,0,0,0,0,0,0
12,2020-03-15,21,125,1,0,0,0,0,0,0,0,0,0
13,2020-03-16,52,177,0,0,0,0,0,0,0,0,0,0
14,2020-03-17,61,238,1,0,0,0,0,0,0,0,0,0
15,2020-03-18,49,287,1,0,0,0,0,0,0,0,0,0
16,2020-03-19,68,355,0,0,0,0,0,0,0,0,0,0
17,2020-03-20,70,425,0,0,0,0,0,0,0,0,0,0
18,2020-03-21,111,536,0,0,0,0,0,0,0,0,0,0
19,2020-03-22,98,634,0,0,0,0,0,0,0,0,0,0
20,2020-03-23,115,749,2,0,0,0,0,0,0,0,0,0
21,2020-03-24,152,901,1,0,0,0,0,0,0,0,0,0
22,2020-03-25,150,1051,2,0,0,0,0,0,0,0,0,0
23,2020-03-26,170,1221,3,0,0,0,0,0,0,0,0,0
24,2020-03-27,168,1389,3,0,0,0,0,0,0,0,0,0
25,2020-03-28,249,1638,0,0,0,0,0,0,0,0,0,0
26,2020-03-29,224,1862,2,0,0,0,0,0,0,0,0,0
27,2020-03-30,193,2055,4,0,0,0,0,0,0,0,0,0
28,2020-03-31,256,2311,9,0,0,0,0,0,0,0,0,0
29,2020-04-01,243,2554,2,0,0,0,0,0,0,0,0,0
30,2020-04-02,392,2946,10,0,0,0,0,0,0,0,0,0
31,2020-04-03,437,3383,14,0,0,0,0,0,0,0,0,0
32,2020-04-04,244,3627,14,0,116,0,0,0,0,0,0,0
33,2020-04-05,475,4102,8,0,18,0,0,0,0,0,0,0
34,2020-04-06,311,4413,15,0,28,0,0,0,0,0,0,0
35,2020-04-07,435,4848,9,0,29,0,0,0,0,0,0,0
36,2020-04-08,357,5205,26,0,31,0,0,0,0,0,0,0
37,2020-04-09,370,5575,29,0,62,0,0,0,0,0,0,0
38,2020-04-10,380,5955,16,0,34,0,0,0,0,0,0,0
39,2020-04-11,401,6356,7,0,57,0,0,0,0,0,0,0
40,2020-04-12,318,6674,27,0,64,0,0,0,0,0,0,0
41,2020-04-13,260,6934,23,0,48,0,0,0,0,0,0,0
42,2020-04-14,268,7202,13,0,131,0,0,0,0,0,0,0
43,2020-04-15,380,7582,18,0,50,0,0,0,0,0,0,0
44,2020-04-16,336,7918,22,0,106,0,0,0,0,0,0,0
45,2020-04-17,461,8379,28,0,92,0,0,0,0,0,0,0
46,2020-04-18,363,8742,18,0,115,0,0,0,0,0,0,0
47,2020-04-19,545,9287,15,0,59,0,0,0,0,0,0,0
48,2020-04-20,306,9593,13,0,93,0,0,0,0,0,0,0
49,2020-04-21,263,9856,20,0,164,0,0,0,0,0,0,0
50,2020-04-22,313,10169,20,0,216,0,0,0,0,0,0,0
51,2020-04-23,342,10511,25,0,227,0,0,0,0,0,0,0
52,2020-04-24,381,10892,28,0,204,0,0,0,0,0,0,0
53,2020-04-25,381,11273,40,0,182,0,0,0,0,0,0,0
54,2020-04-26,344,11617,30,0,139,0,0,0,0,0,0,0
55,2020-04-27,285,11902,12,0,201,0,0,0,0,0,0,0
56,2020-04-28,316,12218,27,0,189,0,0,0,0,0,0,0
57,2020-04-29,422,12640,34,0,370,0,0,0,0,0,0,0
58,2020-04-30,300,12940,28,0,211,0,0,0,0,0,0,0
59,2020-05-01,228,13168,20,0,255,0,0,0,0,0,0,0
60,2020-05-02,270,13438,7,0,271,0,0,0,0,0,0,0
61,2020-05-03,318,13756,12,0,183,0,0,0,0,0,0,0
62,2020-05-04,313,14069,15,0,150,0,0,0,0,0,0,0
63,2020-05-05,425,14494,19,0,185,0,0,0,0,0,0,0
64,2020-05-06,311,14805,19,0,375,0,0,0,0,0,0,0
65,2020-05-07,324,15129,18,0,207,0,0,0,0,0,0,0
66,2020-05-08,340,15469,22,0,322,0,0,0,0,0,0,0
67,2020-05-09,288,15757,20,0,253,0,0,0,0,0,0,0
68,2020-05-10,345,16102,9,0,261,0,0,0,0,0,0,0
69,2020-05-11,330,16432,15,0,118,0,0,0,0,0,0,0
70,2020-05-12,595,17027,11,0,315,0,0,0,0,0,0,0
71,2020-05-13,322,17349,28,0,279,0,0,0,0,0,0,0
72,2020-05-14,411,17760,23,0,286,0,0,0,0,0,0,0
73,2020-05-15,401,18161,22,0,222,0,0,0,0,0,0,0
74,2020-05-16,241,18402,24,0,257,0,0,0,0,0,0,0
75,2020-05-17,272,18674,8,0,276,0,0,0,0,0,0,0
76,2020-05-18,356,19030,10,0,177,0,0,0,0,0,0,0
77,2020-05-19,383,19413,11,0,275,0,0,0,0,0,0,0
78,2020-05-20,471,19884,12,0,280,0,0,0,0,0,0,0
79,2020-05-21,405,20289,14,0,269,0,0,0,0,0,0,0
80,2020-05-22,476,20765,10,0,279,0,0,0,0,0,0,0
81,2020-05-23,316,21081,10,0,246,0,0,0,0,0,0,0
82,2020-05-24,395,21476,11,0,217,0,0,0,0,0,0,0
83,2020-05-25,341,21817,3,0,82,0,0,0,0,0,0,0
84,2020-05-26,445,22262,11,0,744,0,0,0,0,0,0,0
85,2020-05-27,399,22661,17,0,310,0,0,0,0,0,0,0
86,2020-05-28,352,23013,4,0,230,0,0,0,0,0,0,0
87,2020-05-29,333,23346,10,0,132,0,0,0,0,0,0,0
88,2020-05-30,416,23762,13,0,324,0,0,0,0,0,0,0
89,2020-05-31,219,23981,10,0,255,0,0,0,0,0,0,0
90,2020-06-01,380,24361,3,0,178,0,0,0,0,0,0,0
91,2020-06-02,236,24597,10,0,277,0,0,0,0,0,0,0
92,2020-06-03,292,24889,18,0,288,0,0,0,0,0,0,0
93,2020-06-04,361,25250,23,0,213,0,0,0,0,0,0,0
94,2020-06-05,362,25612,2,0,183,0,0,0,0,0,0,0
95,2020-06-06,576,26188,20,0,231,0,0,0,0,0,0,0
96,2020-06-07,575,26763,14,0,214,0,0,0,0,0,0,0
97,2020-06-08,599,27362,4,0,143,0,0,0,0,0,0,0
98,2020-06-09,400,27762,9,0,198,0,0,0,0,0,0,0
99,2020-06-10,282,28044,19,0,215,0,0,0,0,0,0,0
100,2020-06-11,359,28403,23,0,285,0,0,0,0,0,0,0
101,2020-06-12,376,28779,9,0,109,0,0,0,0,0,0,0
102,2020-06-13,440,29219,7,0,299,0,0,0,0,0,0,0
103,2020-06-14,375,29594,15,0,122,0,0,0,0,0,0,0
104,2020-06-15,396,29990,10,0,157,0,0,0,0,0,0,0
105,2020-06-16,407,30397,9,0,271,0,0,0,0,0,0,0
106,2020-06-17,506,30903,16,0,267,0,0,0,0,0,0,0
107,2020-06-18,314,31217,14,0,396,0,0,0,0,0,0,0
108,2020-06-19,352,31569,30,0,381,0,0,0,0,0,0,0
109,2020-06-20,309,31878,18,0,483,0,0,0,0,0,0,0
110,2020-06-21,311,32189,12,0,502,0,0,0,0,0,0,0
111,2020-06-22,296,32485,10,0,393,0,0,0,0,0,0,0
112,2020-06-23,300,32785,3,0,497,0,0,0,0,0,0,0
113,2020-06-24,294,33079,16,0,561,0,0,0,0,0,0,0
114,2020-06-25,298,33377,21,0,520,0,0,0,0,0,0,0
115,2020-06-26,285,33662,16,0,564,0,0,0,0,0,0,0
116,2020-06-27,319,33981,17,0,754,0,0,0,0,0,0,0
117,2020-06-28,193,34174,6,0,576,0,0,0,0,0,0,0
118,2020-06-29,247,34421,4,0,349,0,0,0,0,0,0,0
119,2020-06-30,239,34660,6,0,384,0,0,0,0,0,0,0
120,2020-07-01,382,35042,19,0,510,0,0,0,0,0,0,0
121,2020-07-02,371,35413,14,0,418,0,0,0,0,0,0,0
122,2020-07-03,259,35672,15,0,442,0,0,0,0,0,0,0
123,2020-07-04,314,35986,14,0,476,0,0,0,0,0,0,0
124,2020-07-05,231,36217,5,0,619,0,0,0,0,0,0,0
125,2020-07-06,205,36422,5,0,220,0,0,0,0,0,0,0
126,2020-07-07,257,36679,4,0,272,0,0,0,0,0,0,0
127,2020-07-08,277,36956,7,0,640,0,0,0,0,0,0,0
128,2020-07-09,262,37218,15,0,599,0,0,0,0,0,0,0
129,2020-07-10,265,37483,9,0,571,0,0,0,0,0,0,0
130,2020-07-11,305,37788,11,0,587,0,0,0,0,0,0,0
131,2020-07-12,370,38158,6,0,513,0,0,0,0,0,0,0
132,2020-07-13,299,38457,3,0,367,0,0,0,0,0,0,0
133,2020-07-14,267,38724,5,0,241,0,0,0,0,0,0,0
134,2020-07-15,264,38988,12,0,736,0,0,0,0,0,0,0
135,2020-07-16,333,39321,6,0,436,0,0,0,0,0,0,0
136,2020-07-17,353,39674,10,0,577,0,0,0,0,0,0,0
137,2020-07-18,339,40013,7,0,419,0,0,0,0,0,0,0
138,2020-07-19,358,40371,6,0,368,0,0,0,0,0,0,0
139,2020-07-20,279,40650,6,0,247,0,0,0,0,0,0,0
140,2020-07-21,399,41049,4,0,232,0,0,0,0,0,0,0
141,2020-07-22,380,41429,9,0,368,0,0,0,0,0,0,0
142,2020-07-23,418,41847,6,0,402,0,0,0,0,0,0,0
143,2020-07-24,458,42305,9,0,456,0,0,0,0,0,0,0
144,2020-07-25,584,42889,4,0,422,0,0,0,0,0,0,0
145,2020-07-26,443,43332,9,0,334,0,0,0,0,0,0,0
146,2020-07-27,337,43669,7,0,103,0,0,0,0,0,0,0
147,2020-07-28,502,44171,5,0,187,0,0,0,0,0,0,0
148,2020-07-29,512,44683,6,0,147,0,0,0,0,0,0,0
149,2020-07-30,615,45298,12,0,453,0,0,0,0,0,0,0
150,2020-07-31,657,45955,15,0,344,0,0,0,0,0,0,0
151,2020-08-01,658,46613,7,0,387,0,0,0,0,0,0,0
152,2020-08-02,548,47161,5,0,335,0,0,0,0,0,0,0
153,2020-08-03,575,47736,10,0,172,0,0,0,0,0,0,0
154,2020-08-04,680,48416,1,0,175,0,0,0,0,0,0,0
155,2020-08-05,640,49056,6,0,265,0,0,0,0,0,0,0
156,2020-08-06,726,49782,18,0,321,0,0,0,0,0,0,0
157,2020-08-07,809,50591,18,0,399,0,0,0,0,0,0,0
158,2020-08-08,843,51434,13,0,362,0,0,0,0,0,0,0
159,2020-08-09,624,52058,13,0,288,0,0,0,0,0,0,0
160,2020-08-10,619,52677,7,0,186,0,0,0,0,0,0,0
161,2020-08-11,551,53228,2,0,273,0,0,0,0,0,0,0
162,2020-08-12,715,53943,12,0,461,0,0,0,0,0,0,0
163,2020-08-13,811,54754,9,0,350,0,0,0,0,0,0,0
164,2020-08-14,832,55586,13,0,401,0,0,0,0,0,0,0
165,2020-08-15,771,56357,15,0,491,0,0,0,0,0,0,0
166,2020-08-16,594,56951,11,0,277,0,0,0,0,0,0,0
167,2020-08-17,595,57546,8,0,229,0,0,0,0,0,0,0
168,2020-08-18,597,58143,8,0,284,0,0,0,0,0,0,0
169,2020-08-19,735,58878,11,0,456,0,0,0,0,0,0,0
170,2020-08-20,767,59645,17,0,382,0,0,0,0,0,0,0
171,2020-08-21,903,60548,12,0,548,0,0,0,0,0,0,0
172,2020-08-22,900,61448,13,0,632,0,0,0,0,0,0,0
173,2020-08-23,581,62029,13,0,522,0,0,0,0,0,0,0
174,2020-08-24,548,62577,4,0,265,0,0,0,0,0,0,0
175,2020-08-25,763,63340,5,0,336,0,0,0,0,0,0,0
176,2020-08-26,729,64069,17,0,615,0,0,0,0,0,0,0
177,2020-08-27,887,64956,17,0,698,0,0,0,0,0,0,0
178,2020-08-28,791,65747,15,0,688,0,0,0,0,0,0,0
179,2020-08-29,759,66506,9,0,751,0,0,0,0,0,0,0
180,2020-08-30,631,67137,14,0,656,0,0,0,0,0,0,0
181,2020-08-31,502,67639,1,0,446,0,0,0,0,0,0,0
182,2020-09-01,550,68189,6,0,392,0,0,0,0,0,0,0
183,2020-09-02,595,68784,19,0,835,0,0,0,0,0,0,0
184,2020-09-03,612,69396,20,0,728,0,0,0,0,0,0,0
185,2020-09-04,691,70087,14,0,1227,0,0,0,0,0,0,0
186,2020-09-05,567,70654,8,0,2526,0,0,0,0,0,0,0
187,2020-09-06,437,71091,13,0,1910,0,0,0,0,0,0,0
188,2020-09-07,302,71393,7,0,857,0,0,0,0,0,0,0
189,2020-09-08,400,71793,3,0,797,0,0,0,0,0,0,0
190,2020-09-09,421,72214,12,0,1225,0,0,0,0,0,0,0
191,2020-09-10,506,72720,11,0,934,0,0,0,0,0,0,0
192,2020-09-11,594,73314,12,0,779,0,0,0,0,0,0,0
193,2020-09-12,603,73917,10,0,877,0,0,0,0,0,0,0
194,2020-09-13,502,74419,13,0,934,0,0,0,0,0,0,0
195,2020-09-14,377,74796,6,0,438,0,0,0,0,0,0,0
196,2020-09-15,605,75401,15,0,451,0,0,0,0,0,0,0
197,2020-09-16,600,76001,24,0,562,0,0,0,0,0,0,0
198,2020-09-17,837,76838,10,0,615,0,0,0,0,0,0,0
199,2020-09-18,757,77595,16,0,587,0,0,0,0,0,0,0
200,2020-09-19,1002,78597,17,0,549,0,0,0,0,0,0,0
201,2020-09-20,910,79507,12,0,441,0,0,0,0,0,0,0
202,2020-09-21,748,80255,11,0,302,0,0,0,0,0,0,0
203,2020-09-22,711,80966,5,0,368,0,0,0,0,0,0,0
204,2020-09-23,974,81940,18,0,589,0,0,0,0,0,0,0
205,2020-09-24,1136,83076,28,0,597,0,0,0,0,0,0,0
206,2020-09-25,1587,84663,25,0,582,0,0,0,0,0,0,0
207,2020-09-26,1584,86247,23,0,586,0,0,0,0,0,0,0
208,2020-09-27,1350,87597,32,0,578,0,0,0,0,0,0,0
209,2020-09-28,1306,88903,8,0,516,0,0,0,0,0,0,0
210,2020-09-29,1326,90229,15,0,535,0,0,0,0,0,0,0
211,2020-09-30,1552,91781,36,0,740,0,0,0,0,0,0,0
212,2020-10-01,1967,93748,30,0,706,0,0,0,0,0,0,0
213,2020-10-02,2292,96040,30,0,952,0,0,0,0,0,0,0
214,2020-10-03,2367,98407,27,0,856,0,0,0,0,0,0,0
215,2020-10-04,1934,100341,34,0,794,0,0,0,0,0,0,0
216,2020-10-05,2006,102347,26,0,549,0,0,0,0,0,0,0
217,2020-10-06,2236,104583,29,0,606,0,0,0,0,0,0,0
218,2020-10-07,3003,107586,58,0,1188,0,0,0,0,0,0,0
219,2020-10-08,4280,111866,75,0,1144,0,0,0,0,0,0,0
220,2020-10-09,4739,116605,76,0,1385,0,0,0,0,0,0,0
221,2020-10-10,5300,121905,52,0,1107,0,0,0,0,0,0,0
222,2020-10-11,4178,126083,53,0,1320,0,0,0,0,0,0,0
223,2020-10-12,4394,130477,32,0,899,0,0,0,0,0,0,0
224,2020-10-13,5068,135545,35,0,803,0,0,0,0,0,0,0
225,2020-10-14,6526,142071,63,0,1843,0,0,0,0,0,0,0
226,2020-10-15,8099,150170,116,0,1741,0,0,0,0,0,0,0
227,2020-10-16,7705,157875,91,0,2185,0,0,0,0,0,0,0
228,2020-10-17,9622,167497,132,0,4574,0,0,0,0,0,0,0
229,2020-10-18,8536,176033,84,0,2489,0,0,0,0,0,0,0
230,2020-10-19,7482,183515,49,0,1363,0,0,0,0,0,0,0
231,2020-10-20,9291,192806,41,0,1942,0,0,0,0,0,0,0
232,2020-10-21,10040,202846,107,0,2928,0,0,0,0,0,0,0
233,2020-10-22,12107,214953,130,0,3320,0,0,0,0,0,0,0
234,2020-10-23,13632,228585,168,0,2888,0,0,0,0,0,0,0
235,2020-10-24,13628,242213,153,0,4252,0,0,0,0,0,0,0
236,2020-10-25,11742,253955,179,0,3275,0,0,0,0,0,0,0
237,2020-10-26,10241,264196,87,0,2683,0,0,0,0,0,0,0
238,2020-10-27,16300,280496,45,0,3935,0,0,0,0,0,0,0
239,2020-10-28,18820,299316,132,0,4267,0,0,0,0,0,0,0
240,2020-10-29,20156,319472,236,0,5763,0,0,0,0,0,0,0
241,2020-10-30,21628,341100,301,0,5457,0,0,0,0,0,0,0
242,2020-10-31,21897,362997,202,0,5556,0,0,0,0,0,0,0
243,2020-11-01,17171,380168,280,0,6315,0,0,0,0,0,0,0
244,2020-11-02,15578,395746,152,0,7818,0,0,0,0,0,0,0
245,2020-11-03,19364,415110,92,0,5573,0,0,0,0,0,0,0
246,2020-11-04,24692,439802,227,0,8974,0,0,0,0,0,0,0
247,2020-11-05,27143,466945,373,0,8721,0,0,0,0,0,0,0
248,2020-11-06,27086,494031,367,0,10994,0,0,0,0,0,0,0
249,2020-11-07,27875,521906,445,0,11835,0,0,0,0,0,0,0
250,2020-11-08,24785,546691,349,0,8853,0,0,0,0,0,0,0
251,2020-11-09,21713,568404,236,0,10008,0,0,0,0,0,0,0
252,2020-11-10,25484,593888,173,0,11290,0,0,0,0,0,0,0
253,2020-11-11,25211,619099,330,0,12214,0,0,0,0,0,0,0
254,2020-11-12,22683,641782,430,0,11474,0,0,0,0,0,0,0
255,2020-11-13,24051,665833,275,0,13231,0,0,0,0,0,0,0
256,2020-11-14,25571,691404,419,0,14635,0,0,0,0,0,0,0
257,2020-11-15,21854,713258,548,0,12568,0,0,0,0,0,0,0
258,2020-11-16,20816,734074,303,0,11239,0,0,0,0,0,0,0
259,2020-11-17,19152,753226,143,0,18260,0,0,0,0,0,0,0
260,2020-11-18,19883,773109,357,0,18601,0,0,0,0,0,0,0
261,2020-11-19,23975,797084,603,0,19003,0,0,0,0,0,0,0
262,2020-11-20,22464,819548,637,0,19914,0,0,0,0,0,0,0
263,2020-11-21,24213,843761,626,0,25275,0,0,0,0,0,0,0
264,2020-11-22,17856,861617,574,0,16896,0,0,0,0,0,0,0
265,2020-11-23,15002,876619,330,0,14897,0,0,0,0,0,0,0
266,2020-11-24,10139,886758,156,0,15849,0,0,0,0,0,0,0
267,2020-11-25,15362,902120,0,0,0,0,0,0,0,0,0,0
268,2020-11-26,16687,918807,0,0,0,0,0,0,0,0,0,0
269,2020-11-27,16310,935117,0,0,0,0,0,0,0,0,0,0
270,2020-11-28,15178,950295,0,0,0,0,0,0,0,0,0,0
271,2020-11-29,11483,961778,0,0,0,0,0,0,0,0,0,0
277,2020-11-30,5733,967511,0,0,0,0,0,0,0,0,0,0
279,2020-12-01,9105,976616,0,0,0,0,0,0,0,0,0,0
280,2020-12-02,13855,990471,0,0,0,0,0,0,0,0,0,0
281,2020-12-03,14838,1005309,0,0,0,0,0,0,0,0,0,0
282,2020-12-04,13239,1018548,0,0,0,0,0,0,0,0,0,0
283,2020-12-05,12430,1030978,0,0,0,0,0,0,0,0,0,0
284,2020-12-06,9176,1040154,0,0,0,0,0,0,0,0,0,0
285,2020-12-07,4423,1044577,0,0,0,0,0,0,0,0,0,0
286,2020-12-08,8312,1052889,0,0,0,0,0,0,0,0,0,0
287,2020-12-09,12168,1065057,0,0,0,0,0,0,0,0,0,0
288,2020-12-10,13749,1078806,0,0,0,0,0,0,0,0,0,0
289,2020-12-11,13110,1091916,0,0,0,0,0,0,0,0,0,0
290,2020-12-12,11497,1103413,0,0,0,0,0,0,0,0,0,0
291,2020-12-13,8977,1112390,0,0,0,0,0,0,0,0,0,0
292,2020-12-14,4896,1117286,0,0,0,0,0,0,0,0,0,0
293,2020-12-15,6907,1124193,0,0,0,0,0,0,0,0,0,0
294,2020-12-16,12454,1136647,0,0,0,0,0,0,0,0,0,0
295,2020-12-17,11953,1148600,0,0,0,0,0,0,0,0,0,0
296,2020-12-18,11013,1159613,0,0,0,0,0,0,0,0,0,0
297,2020-12-19,11267,1170880,0,0,0,0,0,0,0,0,0,0
298,2020-12-20,8594,1179474,0,0,0,0,0,0,0,0,0,0
300,2020-12-21,4633,1184107,0,0,0,0,0,0,0,0,0,0
301,2020-12-22,7192,1191299,0,0,0,0,0,0,0,0,0,0
